# case_id|variant_id|polarity|frequency|rationale|behavior|values|callable_inputs|callable_result|call_sites|callable_disposition|latent_operations|captured_facts|ownership_transfer|registration_lifetime|expected_observation|primary_reason|required_sites|all_sites|source_requirements|operator_consent|operation_exercise
effect.pure_map|positive|positive|pervasive|baseline higher-order transformation|map every input in order|input list;output list|element to element|list|map.call;callback.call|passed_callable|none_explicit|none_explicit|none_explicit|call_only|output preserves order and mapped values|none_expected|map.call;callback.call|map.definition:definition;map.call:call;callback.definition:callable;callback.call:call|none_explicit|none_explicit|none_explicit
effect.pure_map|misuse_callback_shape|misuse|pervasive|pins callable input and result identity|invoke a callback with its declared input and retain its declared result|input list;callback result|element to element|list|map.call;callback.call|passed_callable|none_explicit|none_explicit|none_explicit|call_only|reject a callback whose input or result shape disagrees|callable_shape_mismatch|callback.definition;callback.call|map.definition:definition;callback.definition:callable;map.call:call;callback.call:call|none_explicit|none_explicit|none_explicit
effect.effectful_map|positive|positive|pervasive|tests inferred latent requirement propagation|map while preserving callback requirements|input list;output list|element to element|list|map.call;callback.call|passed_callable|callback.requirement|none_explicit|none_explicit|call_only|callback requirement is inferred and propagated to map caller|none_expected|callback.call;map.call|map.definition:definition;callback.definition:callable;callback.call:call;map.call:call|callback.requirement|none_explicit|callback.requirement
effect.effectful_map|misuse_erased_requirement|misuse|pervasive|prevents effect laundering through map|map an effectful callback without reporting its requirement|input list;output list|element to element|list|map.call;callback.call|passed_callable|callback.requirement|none_explicit|none_explicit|call_only|reject erasure of the callback requirement|latent_requirement_erased|callback.call;map.call|map.definition:definition;callback.definition:callable;callback.call:call;map.call:call|callback.requirement|none_explicit|callback.requirement
effect.filter_retain|positive_two_list_odd_filter|positive|pervasive|pins ownership Program 3 positive without restructuring|scan 1 2 3 4 and append 1 and 3 to a distinct output list|input list;output list|element to Bool|list|filter.call;predicate.call|passed_callable|predicate.requirement|input list view|none_explicit|call_only|input remains unchanged and output is exactly 1 3|none_expected|filter.call;predicate.call|filter.definition:definition;predicate.definition:callable;filter.call:call;predicate.call:call;input.view:resource;output.write:use|predicate.requirement|none_explicit|predicate.requirement
effect.filter_retain|positive_retain_delete|positive|pervasive|pins ownership Program 3 retain positive|delete even items in place while traversal stays valid|mutable list|element view to Bool|unit|retain.call;predicate.call;retain.delete|passed_callable|predicate.requirement|retained item view|list mutation retained|call_only|final list is exactly 1 3 and deleted views do not escape|none_expected|retain.call;retain.delete|retain.definition:definition;predicate.definition:callable;retain.call:call;predicate.call:call;retain.delete:use;item.view:resource|predicate.requirement|none_explicit|predicate.requirement
effect.filter_retain|misuse_same_list_mutation|misuse|pervasive|rejects ordinary mutation during iteration|append to or remove from the source list inside ordinary iteration|mutable list|element to Bool|list|filter.call;predicate.call;source.mutation|passed_callable|predicate.requirement|active iteration|none_explicit|call_only|reject mutation that conflicts with the active iteration|active_iteration_mutation|source.mutation;filter.call|filter.definition:definition;predicate.definition:callable;filter.call:call;predicate.call:call;source.mutation:use;iteration.active:resource|predicate.requirement|none_explicit|predicate.requirement
effect.filter_retain|misuse_stale_retained_view|misuse|pervasive|pins invalidation after retain deletion|keep a deleted item view and use it after retain|mutable list;item view|element view to Bool|unit|retain.call;retain.delete;stale.use|passed_callable|predicate.requirement|deleted item view|none_explicit|through_retain|reject use of the view invalidated by deletion|stale_retained_item_view|retain.delete;stale.use|retain.definition:definition;predicate.definition:callable;retain.call:call;retain.delete:use;item.view:capture;stale.use:use|predicate.requirement|none_explicit|predicate.requirement
effect.fold|positive|positive|common|tests latent requirements through an accumulator|fold values in order with an effectful step|input list;seed;result|accumulator and element to accumulator|value|fold.call;step.call|passed_callable|step.requirement|none_explicit|none_explicit|call_only|result and step requirement are both preserved|none_expected|fold.call;step.call|fold.definition:definition;step.definition:callable;fold.call:call;step.call:call|step.requirement|none_explicit|step.requirement
effect.fold|misuse_erased_step|misuse|common|prevents fold from hiding step requirements|fold with an effectful step but report a pure result callable|input list;seed;result|accumulator and element to accumulator|value|fold.call;step.call|passed_callable|step.requirement|none_explicit|none_explicit|call_only|reject erasure of the step requirement|latent_requirement_erased|step.call;fold.call|fold.definition:definition;step.definition:callable;fold.call:call;step.call:call|step.requirement|none_explicit|step.requirement
